Query_name	Prediction	Probability_score
BGC0001831|c1|2452-4230|-|MXAN_6636|AMP-binding_protein|ABF9279_[none]	c6.through.c12	0.242
BGC0001838|c1|3354-16256|+|AFJ23825.1|WLIP_synthetase_B|AFJ2382_[none]	small.hydrophilic.aa	1.000
BGC0001838|c1|16253-27655|+|AFJ23826.1|WLIP_synthetase_C|AFJ238_[none]	small.hydrophobic.aa	0.749
BGC0001848|c1|52031-53602|+|MicB006_2938|long-chain_acyl-CoA_sy_[none]	c2.through.c5	0.319
BGC0001850|c1|20204-21775|-|StrepF001_25970|acyl-CoA_synthetase_[none]	c2.through.c5	0.318
BGC0001856|c1|155569-158616|-|QBF51786.1|Nrps|QBF51786.1_[none]	small.hydrophilic.aa	0.364
BGC0001856|c1|183926-185251|-|QBF51802.1|ATP-dependent_acyl-CoA_[none]	aryl.and.biaryl.derivatives	0.451
BGC0001857|c1|15342-27878|+|QBE85649.1|BuaA|QBE85649.1_[none]	bulky.mainly.phenyl.derivatives.aa	0.387
BGC0001877|c1|15427-19242|-|FS847_01805|amino_acid_adenylation__[none]	polar.and.charged.aa	0.674
BGC0001877|c1|41507-48664|-|FS847_01910|AMP-binding_protein|TXD_[none]	aryl.and.biaryl.derivatives	0.189
BGC0001881|c1|30235-42858|+|QCS37521.1|pyiS|QCS37521.1_[none]	bulky.mainly.phenyl.derivatives.aa	0.496
BGC0001884|c1|16731-19034|+|DAB41914.1|ArzL_-_PKS_(FAAL,_ACP)|D_[none]	c6.through.c12	0.347
BGC0001885|c1|31485-35111|+|DAC76731.1|methionyl-tRNA_formyltra_[none]	tiny.aa	0.993
BGC0001890|c1|2-1612|+|VIBHAR_01379|hypothetical_protein|ABU703_[none]	cinnamate.and.succinylbenzoate.derivatives	0.201
BGC0001890|c1|20109-21728|+|VIBHAR_01399|hypothetical_protein|A_[none]	small.hydrophilic.aa	0.572
BGC0001890|c1|22711-26664|+|VIBHAR_01401|hypothetical_protein|A_[none]	polar.and.charged.aa	1.000
BGC0001895|c1|13125-14789|-|C4J65_11165|hypothetical_protein|AX_[none]	c2.through.c5	0.236
BGC0001897|c1|10179-11975|+|BamIOP4010DRAFT_0384|AMP-dependent__[none]	c6.through.c12	0.296
BGC0001898|c1|9647-11215|-|ACO31271.1|PtmA2|ACO31271.1_[none]	cinnamate.and.succinylbenzoate.derivatives	0.273
BGC0001898|c1|40542-42125|+|ACO31297.1|PtmA3|ACO31297.1_[none]	aryl.and.biaryl.derivatives	0.189
BGC0001900|c1|2102-5668|+|I35_4194|Peptide_synthetase|CDN62030._[none]	small.hydrophobic.aa	0.618
BGC0001908|c1|13778-15304|+|ANH11404.1|SceI|ANH11404.1_[none]	bulky.mainly.phenyl.derivatives.aa	0.258
BGC0001908|c1|15359-16897|+|ANH11405.1|SceJ|ANH11405.1_[none]	c13.through.c17	0.561
BGC0001918|c1|22723-24201|-|BBD17745.1|AMP-ligase|BBD17745.1_[none]	luciferin	0.428
BGC0001919|c1|30513-32000|-|BBD17766.1|AMP-ligase|BBD17766.1_[none]	luciferin	0.414
BGC0001922|c1|20146-21678|-|BBE36469.1|amino_acid_adenylation_d_[none]	bulky.mainly.phenyl.derivatives.aa	0.290
BGC0001925|c1|3122-4720|+|BBG06551.1|AMP_binding_enzyme|BBG0655_[none]	small.hydrophobic.aa	0.393
BGC0001925|c1|12317-13996|-|BBG06561.1|AMP_binding_enzyme|BBG06_[none]	cinnamate.and.succinylbenzoate.derivatives	0.332
BGC0001932|c1|153007-154413|+|AWC08666.1|putative_4-guanidinylb_[none]	cinnamate.and.succinylbenzoate.derivatives	0.299
BGC0001934|c1|8489-9970|+|AWS21276.1|amino_acid_adenyltransfera_[none]	cyclic.aliphatic.aa	0.840
BGC0001934|c1|29232-31031|+|AWS21283.1|acyl-CoA_synthetase|AWS2_[none]	c6.through.c12	0.373
BGC0001940|c1|11410-13497|-|AXM42922.1|AMP-dependent_synthetase_[none]	c2.through.c5	0.299
BGC0001944|c1|162093-163535|+|AXI91565.1|FunS2|AXI91565.1_[none]	cinnamate.and.succinylbenzoate.derivatives	0.296
BGC0001945|c1|35884-37722|-|AXM43064.1|AMP-dependent_synthetase_[none]	c13.through.c17	0.277
BGC0001950|c1|2075-10687|-|AXN93575.1|PuwA|AXN93575.1_[none]	polar.and.charged.aa	0.992
BGC0001950|c1|24856-26628|+|AXN93578.1|PuwC|AXN93578.1_[none]	c6.through.c12	0.224
BGC0001950|c1|27423-36788|+|AXN93580.1|PuwE|AXN93580.1_[none]	small.hydrophobic.aa	0.865
BGC0001950|c1|36785-54340|+|AXN93581.1|PuwF-G|AXN93581.1_[none]	small.hydrophilic.aa	1.000
BGC0001950|c1|54511-57756|+|AXN93582.1|PuwH|AXN93582.1_[none]	small.hydrophilic.aa	1.000
BGC0001951|c1|2075-10687|-|AXN93584.1|PuwA|AXN93584.1_[none]	polar.and.charged.aa	0.992
BGC0001951|c1|25984-27756|+|AXN93587.1|PuwC|AXN93587.1_[none]	c6.through.c12	0.224
BGC0001951|c1|28551-37916|+|AXN93589.1|PuwE|AXN93589.1_[none]	small.hydrophobic.aa	0.865
BGC0001951|c1|37913-55468|+|AXN93590.1|PuwF-G|AXN93590.1_[none]	small.hydrophilic.aa	1.000
BGC0001951|c1|55576-58884|+|AXN93591.1|PuwH|AXN93591.1_[none]	small.hydrophilic.aa	1.000
BGC0001952|c1|1-8565|-|AXN93592.1|PuwA|AXN93592.1_[none]	polar.and.charged.aa	0.992
BGC0001952|c1|15059-17167|+|AXN93595.1|PuwI|AXN93595.1_[none]	c6.through.c12	0.377
